step,time_fs,atom_idx,atom_type,atom_energy,total_energy
30,30.0,9,H,1.01573026180267,4.38060617446899
30,30.0,10,H,-0.376967191696167,4.38060617446899
30,30.0,11,H,-0.270729809999466,4.38060617446899
30,30.0,12,H,-3.24169182777405,4.38060617446899
30,30.0,13,H,1.74609684944153,4.38060617446899
30,30.0,14,H,-1.38415026664734,4.38060617446899
35,35.0,0,C,1.26028311252594,4.0708441734314
35,35.0,1,C,-2.20153975486755,4.0708441734314
35,35.0,2,C,-0.270526885986328,4.0708441734314
35,35.0,3,C,0.853360712528229,4.0708441734314
35,35.0,4,C,-0.0454453155398369,4.0708441734314
35,35.0,5,H,-0.145622819662094,4.0708441734314
35,35.0,6,H,3.05154705047607,4.0708441734314
35,35.0,7,H,-1.25106763839722,4.0708441734314
35,35.0,8,H,0.44380909204483,4.0708441734314
35,35.0,9,H,0.999814033508301,4.0708441734314
35,35.0,10,H,-0.376550376415253,4.0708441734314
35,35.0,11,H,-0.263404488563538,4.0708441734314
35,35.0,12,H,-3.16634511947632,4.0708441734314
35,35.0,13,H,1.67636692523956,4.0708441734314
35,35.0,14,H,-1.33520174026489,4.0708441734314
40,40.0,0,C,-0.0870293080806732,-3.4086172580719
40,40.0,1,C,-2.2891149520874,-3.4086172580719
40,40.0,2,C,0.434057354927063,-3.4086172580719
40,40.0,3,C,0.111934214830399,-3.4086172580719
40,40.0,4,C,0.631931066513062,-3.4086172580719
40,40.0,5,H,0.539786994457245,-3.4086172580719
40,40.0,6,H,2.31772780418396,-3.4086172580719
40,40.0,7,H,-1.16947674751282,-3.4086172580719
40,40.0,8,H,-1.38313627243042,-3.4086172580719
40,40.0,9,H,1.17809081077576,-3.4086172580719
40,40.0,10,H,-0.414722353219986,-3.4086172580719
40,40.0,11,H,-0.384559750556946,-3.4086172580719
40,40.0,12,H,-1.61724591255188,-3.4086172580719
40,40.0,13,H,1.75453758239746,-3.4086172580719
40,40.0,14,H,-0.920425415039063,-3.4086172580719
45,45.0,0,C,1.26838195323944,3.04031229019165
45,45.0,1,C,-1.95489823818207,3.04031229019165
45,45.0,2,C,-0.244330197572708,3.04031229019165
45,45.0,3,C,0.789538621902466,3.04031229019165
45,45.0,4,C,-0.122009217739105,3.04031229019165
45,45.0,5,H,-0.172652512788773,3.04031229019165
45,45.0,6,H,2.70079708099365,3.04031229019165
45,45.0,7,H,-1.14091980457306,3.04031229019165
45,45.0,8,H,0.479891240596771,3.04031229019165
45,45.0,9,H,0.956727921962738,3.04031229019165
45,45.0,10,H,-0.379513531923294,3.04031229019165
45,45.0,11,H,-0.246081307530403,3.04031229019165
45,45.0,12,H,-2.96481013298035,3.04031229019165
45,45.0,13,H,1.46973919868469,3.04031229019165
45,45.0,14,H,-1.17991721630096,3.04031229019165
50,50.0,0,C,-0.0953942835330963,-2.31854248046875
50,50.0,1,C,-2.55635547637939,-2.31854248046875
50,50.0,2,C,0.406946510076523,-2.31854248046875
