step,time_fs,atom_idx,atom_type,atom_energy,total_energy
12,12.0,10,H,-0.417865514755249,-6.5562310218811035
12,12.0,11,H,-0.3146611154079437,-6.5562310218811035
12,12.0,12,H,-0.8696457743644714,-6.5562310218811035
12,12.0,13,H,1.0279313325881958,-6.5562310218811035
12,12.0,14,H,-0.4062284827232361,-6.5562310218811035
13,13.0,0,C,-0.0757492184638977,-6.58458137512207
13,13.0,1,C,-1.4434967041015625,-6.58458137512207
13,13.0,2,C,0.5334586501121521,-6.58458137512207
13,13.0,3,C,-0.10295205563306808,-6.58458137512207
13,13.0,4,C,0.3494211733341217,-6.58458137512207
13,13.0,5,H,0.39944151043891907,-6.58458137512207
13,13.0,6,H,1.0863471031188965,-6.58458137512207
13,13.0,7,H,-0.7598778605461121,-6.58458137512207
13,13.0,8,H,-1.2491202354431152,-6.58458137512207
13,13.0,9,H,1.0172384977340698,-6.58458137512207
13,13.0,10,H,-0.41591334342956543,-6.58458137512207
13,13.0,11,H,-0.31341713666915894,-6.58458137512207
13,13.0,12,H,-0.8583725690841675,-6.58458137512207
13,13.0,13,H,1.0208252668380737,-6.58458137512207
13,13.0,14,H,-0.39604905247688293,-6.58458137512207
14,14.0,0,C,-0.09381172060966492,-2.7760190963745117
14,14.0,1,C,-2.4505512714385986,-2.7760190963745117
14,14.0,2,C,0.4190461039543152,-2.7760190963745117
14,14.0,3,C,0.15088030695915222,-2.7760190963745117
14,14.0,4,C,0.6887909173965454,-2.7760190963745117
14,14.0,5,H,0.5604419112205505,-2.7760190963745117
14,14.0,6,H,2.5519521236419678,-2.7760190963745117
14,14.0,7,H,-1.2422972917556763,-2.7760190963745117
14,14.0,8,H,-1.4086993932724,-2.7760190963745117
14,14.0,9,H,1.2130590677261353,-2.7760190963745117
14,14.0,10,H,-0.4123503267765045,-2.7760190963745117
14,14.0,11,H,-0.4012252390384674,-2.7760190963745117
14,14.0,12,H,-1.7554649114608765,-2.7760190963745117
14,14.0,13,H,1.8916971683502197,-2.7760190963745117
14,14.0,14,H,-1.0136055946350098,-2.7760190963745117
15,15.0,0,C,1.2728383541107178,0.2294168472290039
15,15.0,1,C,-1.2251414060592651,0.2294168472290039
15,15.0,2,C,-0.17748618125915527,0.2294168472290039
15,15.0,3,C,0.5976402759552002,0.2294168472290039
15,15.0,4,C,-0.3604937195777893,0.2294168472290039
15,15.0,5,H,-0.30634230375289917,0.2294168472290039
15,15.0,6,H,1.6368844509124756,0.2294168472290039
15,15.0,7,H,-0.7899293303489685,0.2294168472290039
15,15.0,8,H,0.5872222185134888,0.2294168472290039
15,15.0,9,H,0.8088648319244385,0.2294168472290039
15,15.0,10,H,-0.38849174976348877,0.2294168472290039
15,15.0,11,H,-0.18261368572711945,0.2294168472290039
15,15.0,12,H,-2.3162879943847656,0.2294168472290039
15,15.0,13,H,0.850016176700592,0.2294168472290039
15,15.0,14,H,-0.7417977452278137,0.2294168472290039
16,16.0,0,C,-0.09148399531841278,-2.6764440536499023
